k_1064,k_755,k_1500
0.0162833130380954,0.0429043541874937,0.0099921889586937
0.0007615129197345,0.0010942186701996,0.0005382843603689
0.0085544855975864,0.01697474356401,0.0055312476103202
0.0177154368454894,0.0349837755313278,0.0114525753110247
0.001873290121475,0.0027913921281696,0.0013032692699576
0.5186856013587203,2.389942619991633,0.1367967678096794
0.044224396488531,0.2164121352004816,0.022916520259071
0.0658383398179583,0.4174274285201982,0.0320551416351188
0.0421861310474939,0.1197954194367118,0.0248654415460197
0.139863559539717,0.4184613333202716,0.0378214861772083
0.0073344114612291,0.0134443321616593,0.0045938961389043
0.0341673297976436,0.1298482168517205,0.0206336013235609
0.3546738479361631,0.3576012329339396,0.1546239511180029
0.0263606891866791,0.0830493591049147,0.0094387111314007
0.0018432851284745,0.0027471628895607,0.0012423177330242
0.0080844389842337,0.0217537965598928,0.0047233013682585
0.0037046869280048,0.0056951211327871,0.002522767928406
0.001187581865161,0.0018207598204268,0.0008683690974573
0.1754811132392938,0.2774212333338917,0.511263699599127
0.0030987933960868,0.0045719411168286,0.0021006790440528
0.0031884547726107,0.0048770428929977,0.0020916281371998
0.0031787521693599,0.0049369031400417,0.0022413958655515
0.1414858567805564,0.148139652971818,0.0592138542500843
0.205923836440934,1.006964499910707,0.0550998170950288
0.2075048688746309,0.452797508660148,0.2083832415888672
0.0105476396758096,0.0186775126107141,0.0068400980825292
0.0080414886530371,0.0048324255033008,0.01356741103666
0.0095717056550424,0.0158228937621814,0.0061985658849759
0.0366200117576457,0.1274035435661425,0.0218024151726015
0.4252974043349876,0.5948645950554101,0.2474026900828614
0.0096839902733401,0.0161990750377245,0.0062937020270773
0.0091839567057955,0.0149382141560684,0.0059938849612359
0.0074724925571782,0.011899099537442,0.0048249809218679
0.130453923921365,0.9951051386506684,0.0565748669880109
0.0100501934534342,0.0170164717130869,0.0066955885588975
0.2108929082055278,0.4281166419437701,0.032923853903663
0.0052801221416092,0.0097961843314474,0.0035430731692766
0.1466858500504391,0.7081252972817935,0.0396632729474181
0.0076654048176851,0.0124170469391636,0.0051025245237634
0.0028833505519514,0.0047377830591796,0.0019248065145544
0.0252845618877428,0.0649824855817742,0.015186146521289
0.1287683328967614,1.3374998978652033,0.0540874471659498
0.0807192330948835,0.4853703997689281,0.0402628584590485
0.0051276323409342,0.0088161351906783,0.0032686702171199
0.0061726351720734,0.0095411663984537,0.0042081930163904
0.0112224805382423,0.0228979183278481,0.0067453296984667
1.0873631305019114,1.6804773431799491,0.3552041012027519
0.0176724201709057,0.0393371196313299,0.0111327935141606
0.1853330477610076,1.8914361746363584,0.0890249321773764
0.0064975544560443,0.0098649323903895,0.0043529229997388
0.0131270642993424,0.0374088805782167,0.0078797364691141
0.0053206458005401,0.0085520269650378,0.0035701438526213
0.0355930045355588,0.0726171468030171,0.0214942578413628
0.0030078448579504,0.0045117209452198,0.0020647752828788
0.0062967017341243,0.010385713006799,0.0042901733686115
0.0123525213894595,0.0312422407488966,0.0077173995561528
0.003150386058846,0.0049180650639503,0.0022548021633065
0.0084313826213089,0.0138520173674051,0.0057155714919088
0.019032604279516,0.035781126682098,0.0120261399055462
0.0125745016417786,0.0302684140314832,0.0074156679717475
0.0133183893442264,0.0547295638050974,0.0074150349696819
0.270344557242177,1.535102216244767,0.1094536334800395
0.0970421561455906,0.3715025260972814,0.0278016585102401
0.0025257717262945,0.0036928270114349,0.0016935271333829
0.0212676909590129,0.0488635169218208,0.0130472290951618
0.0265430864699852,0.0730412300310544,0.013379855429941
0.0521454526287328,0.1594080066211704,0.0154701795342504
0.0066618106362853,0.0104583506377557,0.0043224978265747
0.0340701437291084,0.0890740234101987,0.0198275818607657
0.0029550801601263,0.0048167653959546,0.002049650535476
0.0151172630343494,0.0250311175101528,0.0097810335126858
0.0603116615794208,0.2216516483284092,0.0184408318763367
0.0100522615077441,0.0197227096687569,0.0063835401811154
0.0454038421603295,0.1179145789179522,0.0226960522082999
0.0043761629614182,0.0069377039928081,0.0030414964389613
0.0105792187047625,0.0187174268258496,0.0069120080086394
0.1147739190363584,1.1800677032928075,0.0512985702019624
0.0084180341238863,0.0140092165419479,0.0057677019017825
0.8381038424821913,0.8262834897290098,0.2797474271999186
0.0022466172520327,0.0034368294211422,0.0015348998758818
0.0678255943950029,0.150383951851342,0.0188591094823693
0.1026292833882601,0.3612090519575933,0.0210401155882848
0.0033089011526567,0.0048570723595803,0.002234951786362
0.028184820837633,0.1005643491221379,0.0160856605855719
0.0199111329864345,0.0914684275887183,0.0104927801974643
0.0182324585921051,0.0396152505179616,0.0116141227545003
0.017884377829905,0.0411803745478334,0.0112527671300393
0.0033774246446583,0.0050376144620762,0.0022439915971588
0.050515265454164,0.2081773003698088,0.0287226060429004
0.0207839220330578,0.0365439631736663,0.0128968042150181
0.0181688117598041,0.0751341495942276,0.0091914502029533
0.007767364018104,0.0122274913100399,0.0052471412486504
0.0022560735472828,0.0033566196318157,0.0015631363196348
0.0057726143979618,0.0087946063666184,0.0038046028648689
0.0315398668519784,0.1289099056862122,0.0179765388482579
0.1146038268564489,0.1820970788910345,0.0250330572303827
0.0034413391018178,0.00527747586297,0.0023212253910104
0.0073242373470208,0.012008808781163,0.0050071398486625
0.0036961159672438,0.0056265418553888,0.0025272026428172
0.0086784521142224,0.014113840088435,0.0057640126650907
0.0095305505092905,0.0160376826572154,0.0063450887715469
0.0291102834971287,0.1393433450981493,0.0163953915133881
0.0074311480710046,0.0124678721542001,0.0050551889723674
0.0991774201543601,0.6375041829906298,0.0314133144969799
0.0429703896693405,0.1148172832725116,0.0237569235098418
0.0143566372309156,0.0264652612496398,0.0090360265105454
0.0098509689952707,0.0163589177242814,0.0064068327170267
0.0069624141947584,0.0123100292794488,0.004501890571322
0.0009194954739918,0.0013572293039235,0.0006481961159036
0.0306629257593154,0.1199639949238217,0.0158065000437492
0.0102951706202044,0.0171832789221525,0.0068711434659532
0.0147124754373789,0.0584184988477548,0.0073925224428912
0.015458834359336,0.0312754434586344,0.0096354795245193
0.0220089457979496,0.0412778988971522,0.0136714123805839
0.0770255771638336,0.3299512183440659,0.0318676921090747
0.0127064696023503,0.0267870023460011,0.0076320736121492
1.560837225471282,1.807250088419491,1.1421197814226778
0.0440588212319313,0.1326754267119202,0.0240806975290438
0.0188070991004637,0.0396055506287364,0.0114475007250498
0.0353816415569895,0.1615892894669006,0.0199930738446107
0.00397477538176,0.0060665181497185,0.0027674091150086
0.0037786455161573,0.005893995812368,0.0025517840225267
0.0103383257699149,0.0177943959805182,0.0070873135408053
0.0032450744872682,0.0048586001887473,0.0022895754989326
0.0088185616024489,0.0145732652172268,0.0056101000913813
0.0015520754534975,0.00224869764606,0.0010602288169539
0.0057838236366675,0.0106016979538169,0.0037285576347078
0.0100236315711281,0.0208950418448213,0.0061489697755635
0.0026033348125354,0.0038105805570432,0.0018057912305822
0.0371255457092593,0.1392418393928187,0.0181437048485151
0.006623247580717,0.0104060930163281,0.0042939408776341
0.0063265799147269,0.0097803830384391,0.0042490583081748
0.0173559699308016,0.0354956982980846,0.011387192117878
0.0070598427415605,0.0107687765476611,0.0047391058456621
